Ticket,Authority
"اتمنى من وزارة التجارة تعميدجميع المتاجر الصغيره والكبيره بقبول الفيزا الأتمانيه بأنواعهالكثرة السياح وزيادة اعداد السياح بالدوله ومعاناة السائحين للبحث عن المتاجر التي تقبل الفيزا الأتمانيه
 والله معاناة في الدول الأخرى تقبل الفيزا التي نستخدمها لماذا لا نعاملهم بالمثل",وزارة التجارة
عندي طلب ارجاع له ? ايام ولم يتواصل معي احد حتى الموقع مسجل فيه يحتاج تصدير وقيد المعالجه,وزارة التجارة
عندي شركه لم تعمل لم تكمل سنه وليس عليه موظفين او التزامات (وهي شركه ذات شخص واحد) كيف طريقة الشطب ؟هل ملزم بوجود ارفاق مركز مالي وهي لم تعمل؟ وهل هناك رسوم على الشطب ؟,وزارة التجارة
السلام وعليكم ابي اصدر سجل تجاري جاني رقم سداد خطا ارجو تعديله,وزارة التجارة
ماكملت ?? ساعه ولا فكيته من الكرتون نفس ماجاني يقول عشان العرض م نقبل نرجعه,وزارة التجارة
ارجو تحديث السجل التجاري رقم / 4030207620,وزارة التجارة
وانا نفس مشكلتك طلبت طلبيه من دخون الاماراتية والان كملت 13 يوم لم تصلني الطلبيه تجربة فاشله للأسف,وزارة التجارة
هل اصبح عدم وضع اسعار المواد الغذائية مسموح بعد مغادرة الوزير السابق,وزارة التجارة
موسسه تعمل دون صراف الي وتطلب من الزباين التعامل بالكاش وان صرافه متعطله,وزارة التجارة
السلام عليكم بعد سبع ساعات ولا احد تواصل معي ولا اخذت علم، الطلبية المفروض توصل قبل ? ايام والى الان محد رد علي، يخي اذا الطلب غير متوفر رجع فلوسي اتمنى هذي ثالث تغريده واتمنى القى حل,وزارة التجارة
انا عندي متجر الكتروني ووضعت بسياسة الاسترجاع ان طلبات الحجز الخاص اللي تطلب للعميل بشكل خاص لاتسترجع فقط تستبدل في حال وجوده عيب، هل هذا مسموح؟؟,وزارة التجارة
عسل صبيب الشهد عامل اعلان في السناب يروج لمنتجه باليانصيب,وزارة التجارة
"السلام عليكم ورحمة
 ماهي اشتراطات الحصول على سجل تجاري لنشاط بيع واستيراد ملبوسات والاحذية و اللصناف الجلدية وغيرها وملابس بالتجزئة",وزارة التجارة
هل يمكنك تزويدي بالرابط الخاص المتطلبات,وزارة التجارة
لا تنسون حقوق المستهلك اللى ما أستلم جائزته,وزارة التجارة
برجاء تحديث سجل تجاري رقم 1010757835 حتى يظهر في ابشر اعمال,وزارة التجارة
عندي طلبيه من يوم 19 ومافي رد ولا طلعت من متجر ومافي احد يرد من خدمة عملاء,وزارة التجارة
عندي طلبية ابغى استرجاع الطلبية و استرجاع الفلوس و توصلت معكم عن طريق واتس و سناب ما حد فيكم الرجاء ثم الرجاء رد في اسرع وقت لل أسترجاع فلوس,وزارة التجارة
"السلام عليكم 
 عندي شكوى على شركة بيرين",وزارة التجارة
عند ادخال رابط الموقع الالكتروني لديكم يتعذر العثور عليه,وزارة التجارة
وانا نفس الكلام لايردون ولا في خبر جديد وش العلم,وزارة التجارة
انا عند الفرع ياوزارة التجاره نفس المنوال رافضين الاسترجاع وشغل استهبال عيني عينك,وزارة التجارة
نفس المشكله طلبي المفروض تصل اليوم لكن للاسف ماانشحنت بالاساس,وزارة التجارة
"وانا شريت عطر والمشهور اعلن عنها ويقول الكل رابح اقل شي ??? يشهد الله عليا وصل العطور ولقيت ? ريال فقط والعطورات ماتسوى بريال لا ريحه ولا ثبات ولا اي شي دفعت حوالي ??? ريال 
 وحسبي الله ونعم الوكيل",وزارة التجارة
عزيزي عند التسجيل بالغرفه تظهر هذه الرساله وانا صاحب السجل رقم 1009006147,وزارة التجارة
وزارة التجارة لقيت عدة شكاوي لكثير من الاشخاص نفس شكوتي لفرع جيزان بالكذب على العملاء في مواعيد التوصيل وايضا نتصل عليهم ومايردون الا بعد طلوع الروح,وزارة التجارة
سلام عليكم ورحمة الله وبركاته. عندي استفسار عن محل يرفض الدفع من الشبكه و يقول اذا تبي احاسبك من الشبكه راح تدفع زياده و افضل تدفع كاش . هل يعني هذا انه يتهرب من الضريبه؟,وزارة التجارة
طلبت من بارنز وحاطين عرض التوصيل 9 ريال كحد ادنى للطلبات بمبلغ 49 ريال وانا طالبه 54 ريال لمن أتممت الطلب التوصيل طلع ب 17 ريال اتواصلت مع خدمة العملاء قالولي للاسف مانقدر نفيدك لان الموقع بعيد عن بيتك وانا حول بيتي 3 فروع وأكثر يعني كمان القهوة بتوصل بارده,الهيئة العامة للنقل
"عندي طلبية تاخرت ولا فيه اي تحديث لها خذت 13 يوم تقريبا ولا جات والمتوقع وصولها خلال ?ايام 
  ولم يتم الرد علي """,وزارة التجارة
لاتردون واتس ولا في اي خدمة عملاء !!! لي اسبوع ارسل كل الموظفين مشغولين مو معقول اللي صاير !!!!!!,وزارة التجارة
من الظهر اراسلكم محد رد علي شحنتي تطلع مع المندوب ومايتواصل معاي ابد من ? ايام وش الحل؟؟؟,الهيئة العامة للنقل
"عندي طلبية تاخرت ولا فيه اي تحديث لها خذت ?? يوم تقريبا ولا جات والمتوقع وصولها خلال ?ايام 
  ولم يتم الرد علي .",وزارة التجارة
"اتسائل هناك شخص وافد على كفالة صاحب العمل حسب الانظمه ولوافد مستأجر النشاط بالاتفاق بينه وبين صاحب النشاط شفوي الوافد عنده نقاط بيع باسم شخص اخر يستخدمها دون علم صاحب المحل بنفس المحل مع العلم ان 
  هناك نقاط بيع خاصه في المحل هل يعتبر هذا تستر تجاري",وزارة التجارة
يعتب م ذكرته انا تستر تجاري بالاتفاق بين صاب المنشاءة والوافد,وزارة التجارة
السلام عليكم طلبت من هوم بوكس وتم الدفع عن طريق تابي وانخصم المبلغ لكن بهوم بوكس الغو طلبيتي وقالو عملية الدفع مرفوضه واكلمهم بخدمة العملاء لكن مايردون مافيه تجاوب او اي رد بس ماعندهم سجل تجاري كيف ارفع شكوى عليهم؟,ساما
هل صحيح الطلبية لا تسترد من وكلائكم كما يدعون ؟!,وزارة التجارة
السلام عليكم اشتريت شاشه دانسات من ثلاث سنوات قبل رمضان عطلت صارت سوداء فقط اتصلت ع الشركه دانسات وجاوء خذوها لاصلاحها بجده بشهر 8 والآن 16/9 ماوصلوها لي ولا تجاوبو معاي ولايردون علي ابد ايش الحل معاهم ؟؟!؟؟؟,وزارة التجارة
نرجو منكم تحديث السجل التجاري لدى مركز المعلومات الوطني رقم السجل 4030424378. ،,وزارة التجارة
"السلام عليكم.. بلغت عن طريق التطبيق ويطلع لي مرفوض ""انا رحت لعيادة وسحبوا أكثر من مبلغ الخدمة والموضوع له شهرين ما رجعوا لي المبلغ الزائد"" ايش خانة البلاغ المناسبة؟",وزارة التجارة
"شركة دان الوطنية 
 اشتريت شاشه دانسات وماكملت ? شهور خربت ورفعت طلب من خلال موقعكم ولا احد تواصل معي .. نتصل على ارقامكم محد يرد اتمنى حل المشكله او ارجاع اموالنا واسترجاع جهازكم الرديء",وزارة التجارة
برجاء التكرم بمزامنة اشتراك الغرفة التجارية للسجل التجاري رقم 2051246954,وزارة التجارة
تم طلب عرضين لعدد ? عطور ووصلني فقط ?,وزارة التجارة
للأسف الشديد تم إغلاق البلاغ كما كان يُفعل في السابق من موظفي خدمة العملاء,وزارة التجارة
شركة تكذب على العميل وتطلب من المواطن الحضور الى نقطة في الشارع وتضع ارساليات العملاء في الشارع وتقوم بالتوزيع كانها زكاة وتمتنع عن التوصيل رغم ان مهمتها توصيل طلبات العملاء. وكذلك تنقل الارساليات في سيارات اللحوم ودينات لاتخص الشركه وهذا الدليل,وزارة التجارة
لدى شكوه في المنتج و اعلان المنشور من قبلكم هو باقة النصر 3 و تم محاولت الاتصال على رقمك 011 229 4044 من امس و لم يردون على الاتصال,وزارة التجارة
وانا برضو من امازون صار لها14يوم وكل يوم يغيرون موعد التسليم,وزارة التجارة
اريد اتقدم بشكوى ضد موقع الكتروني,وزارة التجارة
وقبل قالي ان شاءالله نعوضكم بعدين تراجعوا يوم شافوا محد جاب شي,وزارة التجارة
وإذا كان الموقع الكتروني كيف اختار موقع المنشأه,وزارة التجارة
لازم نطلب عشان ندخل السحب,وزارة التجارة
"أرفع بالغ الشكر للقيادة الرشيدة
 على الثقة الغالية بصدور موافقة مجلس الوزراء على ترقيتي للمرتبة الرابعة عشرة بوزارة التجارة.
 
 والشكر لمعالي الوزير د. ماجد القصبي على تمكينه واهتمامه.
 
 ولجميع الأحبة الذين غمروني بمشاعرهم ودعواتهم الصادقة.
 سائلاً الله التوفيق لخدمة وطننا الغالي",وزارة التجارة
يوجد لدي بلاغ تستر تجاري وقدمة بلاغ لوزارة التجارة مافي اي فايدة,وزارة التجارة
متجر يتلاعب ع الناس ويرسل روابط احتيال والموقع شغال الي الان ولا وصل شحنات للناس ولا رجع المبالغ,وزارة التجارة
السلام عليـكم ورحـمة الله وبـركـاته,وزارة التجارة
تم تقديم شكوى ضد براند عساف لليوم العاشر على التوالي لم يتم ارسال الطلب الناقص,وزارة التجارة
للاسف لم يتم حل مشكلتي ضد براند عساف للعطور,وزارة التجارة
نصبوا علي في جهاز ترجمه خربان,وزارة التجارة
يا اخوان انتبهوا من التعامل مع هذا المتجر والله نصاب وغير محترم وكذاب ومخادع ورفعت عليه بلاغ,وزارة التجارة
"السلام عليكم ورحمة الله وبركاته
 لدي طلب تعديل ، برجاء الإفادة عن حالة الطلب.
 رقم الطلب : 315880
 تعديل السجلات الفرعية للشركات",وزارة التجارة
ردو على الخاص,وزارة التجارة
"تقومون باغلاق البلاغ التجاري دون حل وعندما تواصلت معكم استفسر لماذا ابلغتوني برفع بلاغ جديد إذا لم يتم حل المشكله. 
 طيب انتم على اي اساس تم اقفال البلاغ؟ 
 لا اعلم لمن نشتكي إذا هذا رد الوزاره بكل اسف!!!",وزارة التجارة
"هل تم الرد خاص او عام؟ 
 لا طبعا
 المهم لا يزعلون عليكم التجار وبس اما المستهلك ماهو مهم يتحمل.",وزارة التجارة
الصدقة تمحو ذنوبنا وتطهر أرواحنا، فهي وسيلة للتوبة والاقتراب من الله.,وزارة التجارة
اتمنى الافادة من خلالكم وشكرا مقدماً,وزارة التجارة
"عندي طلبية تاخرت ولا فيه اي تحديث لها خذت ?? يوم تقريبا ولا جات والمتوقع وصولها خلال ?ايام 
  ولم يتم الرد علي """,وزارة التجارة
طلبت من موقع,وزارة التجارة
"للأسف لم يتم حل الموضوع حتى الآن. المنتج فيه عيب مصنعي ، و المبلغ كله على بعضه ??? ريال.
 في اماكن تسوق اخرى ينتهي الموضوع عند خدمة العملاء وليس بحاجة لموافقة الإدارة.",وزارة التجارة
"عندي طلبية تاخرت ولا فيه اي تحديث لها خذت ?? يوم تقريبا ولا جات والمتوقع وصولها خلال ?ايام 
 ولا فيه اي رد منكم .
 
 على الاقل ردو علينا !.",وزارة التجارة
"ولا عرفنا المشكلة 
 ومضطرين للشبكة وقلنا زين افضل 
 لكن الظاهر اخترنا الأسوء 
 اي شركة تحتاج 15 يوم او اكثر لتفعيل الشريحة والراوتر !!!!!! ؟؟؟؟؟
 لكن حسبي الله عليكم",وزارة التجارة
السلام عليكم استفسار عندي مركبة من احدى الوكالات وابغى اسوي لها تنازل من اسمي هل يحق للوكالة مماطلتي ? شهور بحجة المواعيد عشان يصير تنازل للسيارة من اسمي لاسم شخص اخر ؟,وزارة التجارة
متى يتم الرد عالبلاغ,وزارة التجارة
انحجز المبلغ المتبقي قبل الراتب بيوم وتجمد الحساب من شركة امكان اسال الله العزيز القدير ان يجعلهم مايصرفونها الا على صحتهم وصحة اولادهم بحق هذا الشهر الفضيل حسبي الله ونعم الوكيل,وزارة التجارة
"ابي ارفع بلاغ على موقع موجي 
 وصلتني منهم رسالة تم تسليم الطلب وانا ما استلمت شيء ولا احد تواصل معي على اي اساس ياخذون فلوسي ويقولون سلمناك طلبك وانا ماشفت حتى غبرتهم ؟
  وتطبيقكم مايشتغل يرفض تسجيل الدخول عن طريق نفاذ",وزارة التجارة
"اتمنى التأكد من المزادات التي يقيمها تطبيق حراج الجمعة على أجهزة الجوالات 
 
 هناك شكاوي في هذا الموضوع من أن الأجهزة لا تصل إلى أصحابها",وزارة التجارة
طيب نفس الشئ اخذوا منا حساب الطلب ولا أعطونا اى شئ بس يلعبون على العالم ويسحبون أموال الناس بالباطل وخدمه عملاء ما ترد علينا كيف ناخذ حقوقنا منهم,وزارة التجارة
"عندي سجل تجاري مشطوب منذ فتره قصيره وارغب في إعادته مره اخري 
 ما هي الاجراءات",وزارة التجارة
اشكركم على سرعة تجاوبكم على البلاغ والزامكم الوكاله بتنفيذ الاتفاق اللي تم بيني وبينهم,وزارة التجارة
"عندي طلبيه جاتني ناقصه اتواصلت معاكم في التطبيق محد يرد عليه ولا في الواتس احد والى الان محد اتواصل 
 كيف طريقة التواصل معاكم اذا ماتردون على اي طريقة انتم حاطينها الرجاء النظر في الموضوع",وزارة التجارة
"وزارة التجارة الكرام 
 ارجو ايجاد حل مع مناديب شركة اي مايل",الهيئة العامة للنقل
السلام عليكم تم التواصل معي اليوم من رقم 0115139407 ويدعي انه موظف من وزارة التجاره وتم طلبي منه بتحميل تطبيق اني ديسك ودخول على التطبيقات البنكيه وادخال مبلغ بحسابي 4000 ريال بسبب رفع شكوى من دخولي على رابط بقوقل لاجل تاخر طلبات عطور عساف اكثر من شهر كنت باتعرض للنصب,وزارة التجارة
متعبين نفسكم ومسوين حساب لخدممة العملا ولا احد يرد ومسوين رقم موحد ندق عليه لمعرفه اتوقات عمل الفروع وبعدها طوطووو بس اعرف كيف اجيب حقي منك رفع شكوى وزاره التجاره وبينه وكلنا امن عشان حقوق الناس تجيهم,وزارة التجارة
طالبه من السف غلري من بدايه رمضان احنا بنص رمضان ولا وصلت ومافيه اي رد منهم,وزارة التجارة
سلام عليكم ، في حال طلبت من موقع وما جاني الشي نفس المقاس او الوصف وطلبت استرجاع وطلبوني مبلغ ?? ريال هل هذا من حقهم ؟؟,وزارة التجارة
السلام عليكم طلبت من شهر وعليها وباقي للحين ماوصل طلبي قالوا ?? يوم ويوصل ولاوصل المتجر بدون سجل تجاري ومو موثق,وزارة التجارة
السلام عليكم كيف نتواصل معكم لاواتس اب ولا اتصال كيف الطريقة طلبت اون لاين اوردر و لاتردون كيف لكم فروع في انحاء المملكة ولايوجد لكم خدمة عملاء نامل الحل وايجاد طريقة تواصل,وزارة التجارة
"متى سيتم الرد على اتصالنا ؟ 
 انتظار ?? دقيقه بدون رد وتم طلب معاودة الاتصال بنا ? مرات ولك يتم الاتصال ! 
 
 للأسف ًدائماً مستوى الخدمة المقدمة من قبلكم في شهر رمضان غير مرضي إطلاقًا",وزارة التجارة
نعم تمت مراسلتي ولا يوجد اي فائدة من ذالك المطلوب وااااضح !هل ممكن انا يتكرم اي موظف خدمة عملاء بالتواصل معي عبر الهاتف ام ان الخدمة هذه مستحيلة او غير موجودة من الاساس؟؟؟ نامل الاجابة على السؤال هل الخدمة موجودة ام لا؟ ؟ ؟,وزارة التجارة
"غير صحيح انا كثير سالتكم هذا السوال 
 
 ولم يتم اجابتي من قبلكم حتى تدخل السحب لابد من الشراء ،،،لايوجد رابط تسجيل نفس المسابقات الاخرى كل اللي عندكم هاشتاق في تويتر وايفونات خلوكم واضحين وصرحين 
 
 الاخوه في وزارة التجارة",وزارة التجارة
"السلام عليكم 
 طلبت طلبيه من شي ان 
 يوم ? رمضان تقريبا والوقت المحدد للوصول 2024/03/26 والى الان مافي اي خبر منهم والشحنة م وصلت ارجو الرد والافادة",وزارة التجارة
"طلبت جزمة بيضاء وجانتي وحدة لونها اسود ومختلفه عن الطلب وطلبت طقم ? شراريب وجاني شراب واحد فقط 
 شوفو حل مع الحيوان الي في المستودع صرفني بطلبيه غير الي طلبتها 
 ?? ساعة للرد ولا برفع بلاغ في التجارة",وزارة التجارة
اتمنى تشوفو حل قبل لا ينرفع بلاغ لوزارة التجاره ووزارة النقل!,وزارة التجارة
طلبت من متجر الكتروني ومو راضين يلغو الطلب وهو اصلا مانشحن دخلت ببقدم فيهم بلاغ ماعندهم لاسجل تجاري ولا في منصة اعمال مسجلين كيف اخذ حقي,وزارة التجارة
ماينفع لازم ترجعون لي فلوسي اوتنقلونه خلال يوم. هذا ذنبكم شي ذا مالي ذنب فيه ابد انتو تبيعون سياره محظوره م تنقل اتمنى من بينة تحلون مشكلتي انا شذنبي اصبر ?? يوم عمل وين عايشن انتو وزارة التجاره وبينه يشوفون كلامكم اتمنى تحلون المشكله,وزارة التجارة
حاولت اقدم شكوي ضد مشهور. وشركه عطور. ماستعطت. يقفل خط. بعد نص ساعه انتظار,وزارة التجارة
"السلام عليكم 
 ابي اقدم شكوى على الموقع الإلكتروني للسيف غاليري في بلاغ تجاري وش الخطوات",وزارة التجارة
السلام عليكم هل من الممكن نقل ملكية سجل تجاري الى شخص ليس لديه اي سجل تجاري قائم ؟؟ وما هي الطريقة لذلك ؟؟ شكراً,وزارة التجارة
السلام عليكم انا حاجز سياره لاندكروزر من وكاله تيوتا مدينه جده فرع طريق المدينه مضى على الحجز مدت 8 شهور والسياره لم تصل وعندما ذهبت الى الفرع استعلم عن حجزي اخبروني بأن الحجوزات السابقه قد الغيت و تم ارسال رسايل للعملاء لتجديد الحجز ولم يصلني اي رساله,وزارة التجارة
انا عندي شريكه في شركة وابغى اسحب اسمي من السجل ايش الخطوات,وزارة التجارة
"بلاغ
 السلام عليكم
 تم طلب منتج من متجر القصر قبل ? اشهر
 وعندما اخبروني في اليوم التالي ان طلبي سوف يتم توصيلة بعد ? شهور رفضت وطلبت ارجاع المبلغ
 ولم يصلني الى الان المبلغ او المنتج",وزارة التجارة
"السلام عليكم
 بعض المندوبين التابعين للمتاحر الالكترونية لا يحملون معهم (شبكة) هل عليهم مخالفة؟
 وكيف طريقة الابلاغ عنهم؟",وزارة التجارة
الشحنة للان ماوصلتني، كنسلوها ورجعوا فلوسي ما احتاجها,وزارة التجارة
نصيحة لا احد يأخذ منهم أي جهاز كهربائي ، الصيانة عندهم سيئة جداً وخدمة العملاء اسوء وجهازي له أكثر من ?? يوم ولم يستجيبوا للمطالبات,وزارة التجارة
مرحبا شركة شحن كلموني قال لك هدية بمناسبة رمضان قيمتها ? الاف لكن لازم تدفعي ??? عشان التوصيل، بلغت عالرقم انه نصاب لكن من اسبوع وكل يوم يجيني مندوب من رقم الشركة الرسمي يقولي شحنتك بالطريق اليك وجهز ??? ريال كاش !! كلمتهم مليون مره بتصرفون ومافي فايدة!!,الهيئة العامة للنقل
"السلام عليكم، لو سمحتو انا طلبت سيارة من موقع""سيارة"" وقالو الشحن بياخذ ثلاث ايام بس للآن يقولون ماوصلت وبالشحن ولا يعطون وقت متى بتوصل
 هل في تصرف ممكن اخذه او هالشي مسموح؟؟",وزارة التجارة
السلام عليكم اذا عندي سجلين ملابس وسجل نسخ مفاتيح وسجل ورشة سيارات هل ممكن جمع السجلات بسجل واحد ، مع العلم انها ? محلات,وزارة التجارة
"من اسوء الشركات في التعامل مع الزبائن 
 اين الجهات المعنية في تقديم شكوى ؟",وزارة التجارة
السجل باقي مختفي في ابشر ايش الطريقة,وزارة التجارة
ابغى اقدم شكوى على متجر عساف طلبت منهم عن طريق خدمة تمارا والطلب ما وصلني وسويت له الغاء ولحد الان ما رجع لي المبلغ والقسط الثاني باقي له كم يوم ويحل ولاهم اللي استرجعو لي المبلغ ولا هم اللي سلموني الطلبيه ولا هم اللي الغو الطلب من تمارا واتواصل معاهم مافي استجابة,وزارة التجارة
"ممكن تحديث السجل لدي مركز المعلومات السعودي 
 رقم السجل 2050131905",وزارة التجارة
"موقع للعطور يرفض الغاء الطلب ( بحجة انه عروض ومن اعلان مشهور ) مع انه لم يشحن بعد وتأخير التوصيل لمدة اسبوعين ولا أحد يرد علينا
 شوفوا لنا مع هذا النصب!!!",وزارة التجارة
ياوزارة التجاره شوفو لنا حل مع شركة الشحن ايمايل الشحنات عندهم تعدت مواعيد التسليم المقرره لها (?? يوم عندهم)بسبب الاهمال والمماطله العيد قرب ولاسلمو الشحنات لنا والطلبيات متكدسه عندهم بالمستوعات,الهيئة العامة للنقل
نحاول نحدث بيانات السجل بالمركز الوطني ونرسل لكم عبر الخاص ولكن الرد الالي مو فاهم وش المطلوب ياليت تردون خاص وتحدثون لنا البيانات لان بعض المعاملات متعطلة علينا بسبب عدم التحديث وشكراً,وزارة التجارة
"السلام عليكم ورحمة الله 
 ياسادة ياكرام والله ماهكذا تورد الابل ؛ اني اقدم ثلاث بلغات على حالة نصب واحتيال عليّ شخصياً من احدى الشركات ولم اجد حل او تجاوب من الوزارة ويتم اقفال البلاغ بكل استخفاف فهذا والله مالا يرضي الله ولا يتناسب مع الرؤية الكريمة ولا جودة الحياة.",وزارة التجارة
"السلام عليكم. وش 
 الاجراء اذا دفعت كامل قيمة سيارة
 والمعرض ماطل بتسليم السيارة لمدة اكثر من اسبوع؟",وزارة التجارة
لي يومين احاول اتواصل مع شركة,وزارة التجارة
صحيح فيها مشكله القطعة ناقصة,وزارة التجارة
في شارع الستين في جدة قرب قاعة السمو ماجستي مغسلتان اثنتان للملابس الاولى ضيعت احراماتي والثانية ضيعت شماغي والغريب انني رفعت بلاغ على بلدي بعدم ابرازهم رخصة المحل ولم يتجاوب معي احد؟!!!!!,وزارة التجارة
"والله من أسوا خدمات ما بعد البيع ومن أسوا خدمة عملاء على الاطلاق 
 
 يا رَجُل عندي عيب مصنعي بالسيارة ورافضين يدخلوها ورافضين يعطوني سيارة بديلة ! 
 مع ان وزارة التجارة تنص على أن العيب اذا كان مصنعي يلتزم الوكيل بتوفير بديل 
 
 بإذن الله وزارة التجارة تجيب حقي",وزارة التجارة
السلام عليكم عندي طلب اسم تجاري تحت المعالجة ما جاني رد عليه من ثلاث ايام,وزارة التجارة
"عزيزي العميل، يرجى التواصل مع وزارة التجارة
  ليتم تحديث بيانات المنشأه لدى مركز المعلومات الوطني
 نشكر تواصلك
 
 ايش الحل؟",وزارة التجارة
"السلام عليكم ورحمة الله وبركاته 
 يوجد لدي مشكلة عندما افتح سجل صيغة البريد الالكتروني للمدير غير صحيحة وتم رفع طلب يوم الخميس والى الان لم اجد رد رقم الطلب ECR530178
 ارجو حل المشكله",وزارة التجارة
"تم تحويل السجل التجاري من شركة إلى مؤسسة ولاكنه لايظهر بيانات العماله في أبشر 
 ارجوا تحديث البيانات لدى مركز المعلومات الوطني
 7008672847
 5900117856
 1063519670",وزارة التجارة
ارجو تحديث السجل رقم 4030397283,وزارة التجارة
ارجو تحديث السجل رقم 4030397283 لعدم نزوله بابشر,وزارة التجارة
"السلام عليكم
 هل عمل الصيانة الدورية للسيارة في المراكز المعتمدة التي لا تتبع للوكيل يخرج السيارة من الضمان الشامل لدى الوكيل ..",وزارة التجارة
"مو معقولة متجر نون يصير كذا طلبت راوتر موبايلي وصلني شعر مستعار!!!
 تاريخ الطلب 11/3 /2024
 وصلني 26/03 /2024
 ونهايتها شعر مو راوتر!!",وزارة التجارة
نحتاج الي تحديث السجل للاهميه,وزارة التجارة
"تم تحويل السجل التجاري من شركة إلى مؤسسة ولاكنه لايظهر بيانات العماله في أبشر 
 ارجوا تحديث البيانات لدى مركز المعلومات الوطني
 7008672847
 5900117856
 1063519670",وزارة التجارة
اجنبي إبن مواطنة هل يسمح لهم بااصدار سجل تجاري,وزارة التجارة
ابغى ارفع بلاغ تجاري على متجر الكتروني,وزارة التجارة
"اود تقديم شكوى بخصوص عدم الرد على الاتصالات لأكثر من اسبوعين و تم تقديم شكوى قبل ذالك ولم يتم التجاوب مع الشكوى مع العلم ان يتم اخباري بانه سوف يتم الاتصال بي وحل المشكله ولم يتم التواصل معي .. 
  والموضوع له الان اكثر من شهر ونص ..",وزارة التجارة
إذا عُرف السبب بطل العجب مافي احد يحاسبهم! هذولا تشتكي عليهم يقولون لك مالنا علاقة! أجل من الي له علاقة يالتجارة,وزارة التجارة
"برفع شكوى على
 متجر طلبت منهم من ? مارس
 
 وماوصل المنتج
 و ارامكس كمان ماوصلوها ليا
 
 وابغى الغي الطلب ورفضو يلغوها
 الطلب بيكمل شهر
 
 هذا المتجر",وزارة التجارة
السلام عليكم عندي اشكالية مع المتجر هذا,وزارة التجارة
الله يعز وزارة التجارة ب?? دقيقه انهت الي عجزو عنه,وزارة التجارة
تطبيق بلاغ تجاري معلق عندي من امس ابغا ارفع بلاغ لما اوصل عند توثيق نفاذ يخرج من التطبيق,وزارة التجارة
اسوء خدمة عملاء تتصل تنتظر نص ساعه واكثر. ومافي اي تجاوب البنك السعودي الفرنسي,ساما
افضل حل لهم التجارة تربيهم,وزارة التجارة
"ابغى ارفع بلاغ تجاري على متجر الكتروني بس هو كاتب انه في معروف بس مب حاط الرقم 
 ولا اعرف رقم سجله التجاري 
 بس عندي ايميله ورقمه و هو موجود عند",وزارة التجارة
"السلام عليكم
 طلبت تعبية بمبلغ ??? ريال لكن العامل زادها ???.?? ريال
 فلما سألت لماذا قالوا زملائه أنه جديد قلت المفترض يتم تدريبه في الشركة قالوا مافيه علطول جديد جيب هنا
 
 استغربت اجابتهم
 عشان كذا أرسلت لكم",وزارة التجارة
"والله مو اسلوب كل قطاع يرسلني ع الثاني 
 مكتب العمل يرسلني على قوى وقوى يرسلوني على وزارة التجارة ووزارة التجارة يرسلوني على الموارد البشرية 
 وانا ماعاد دريت وين احصل حل لمشكلتي 
 انتهت 4 اقايم للعمال مين المسؤول.؟",وزارة التجارة
في حال ثبت بالادله والرسائل ومكالمات مسجله موظف اجنبي في منفذ تأجير سيارات اجبرني على توقيع سند لامر وبعد سداد قيمه السند حذف الرسائل بشكل واضح من الواتس واستمر الابتزاز ولدي جميع الادله بإعترافه بالسند ومازال سند الامر لديه ويطلب مبلغ اضافي اين اتوجه للشكوى,وزارة التجارة
وزارة التجاره هذي سياسات احد المتاجر المتخصص ببيع الألكترونيات مثل شاشات تلفزيون وثلاجات وغيره كيف تكون هذي السياسات المتناقضه كيف يمكن للعميل معرفة العيب بدون فتح الكرتون ! وكبف يوقع على شي لم يعلم هل يوجد بالمنتج عيب ام لا حيث انه اذا فتح الكرتون لن يسترجع الطلب,وزارة التجارة
"السلام عليكم لي اكثر من ? اشهر حاجز سيارة من نوع لاند كروزر من شركة عبداللطيف جميل و لم نستلم السيارة من مع العلم تم دفع كامل المبلغ في مدينة الرياض.
 اين حقوق المستهلك ؟ الوكيل بتأخيره على المستهلك لمده اكثر من ? اشهر يبجبرنا بالشراء من المعارض بسعر فيه زيادة اكثر من ?? الف ريال",وزارة التجارة
محطة سعر البنزين فيها اعلى من سعر أرامكو المحدد، هل هي من اختصاص التجارة؟,وزارة التجارة
السلام عليكم ، تطبيقات التوصيل من ضمن اختصاصكم للشكاوي ؟؟,الهيئة العامة للنقل
4030336714 ارجو تحديث السجل,وزارة التجارة
انا طالبه قبل رمضان ودافعه فلوس وللان ماوصلني شي حسبي الله عليهم,وزارة التجارة
لا يوجد اي استجابه من قبلكم ولا يوجد حماية للمستهلك,وزارة التجارة
السلام انا طالب عطر من شركه لافيرن لو لحد الان 26يوم والعطر موجود مع شركه شحن ايمايل وكل م اكلمهم ميستجوبو معي كل موضف يعطيني كلام غير يوم يقولو لي الشحنه طالعه مع المندوب ويوم الشحنه باقي في الخط يماطلو فيني رجا خاص شوفو لي حل,الهيئة العامة للنقل
البلاغ ضد متجر لش السعودي,وزارة التجارة
"السادة الموقرين بوزارة التجارة 
 
 السلام عليكم ورحمة الله وبركاته
 
 كرماً تزويدنا بمراكز بناشر تغير زيت المركبات المعتمده لدى وزارة التجارة 
 والتي لا ينتج عنها اي خلل بعقد الضمان للمركبة لدى الشركة الأم . 
 ولكم تحياتي ،،",وزارة التجارة
انا مثلك المنتجات عندهم و ولا رجعوا الفلوس و اذا كتبت لهم بالخاص ما يردون,وزارة التجارة
